MaizeGDB: Details of Map Genetic 9
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Sequence
Dt1	0.00																						
T4-9(6504)(9)	0.00																						
K9S	0.00																						
TB-9S(Saraiva)(9)	0.00																						
telomere9S	0.00																						
ork2	0.00		GRMZM2G310569	Chr9	311374	318659	Zm00001d044717	Chr9	59301	67031	Zm00001eb371430	chr9	1793424	1801374									
pyd1	0.01																						
yg2	0.02																						
wd1	0.03																						
Zm00001eb371500	0.04		GRMZM2G039325	Chr9	567358	580418	Zm00001d044724	Chr9	324619	337752	Zm00001eb371500	chr9	2059650	2072743									
hsp27	0.10		GRMZM2G335242	Chr9	958553	959393	Zm00001d044728	Chr9	593529	593969	Zm00001eb371530	chr9	2328307	2329279									
IDP7828	0.13		GRMZM2G063717	Chr9	1020947	1026522	Zm00001d044730	Chr9	644426	649902	Zm00001eb371550	chr9	2379514	2384987									
si614101c11f	0.14		GRMZM2G396516	Chr9	1212917	1218263					Zm00001eb371610	chr9	2613176	2620899									
cel3	0.14		GRMZM2G154678	Chr9	1328457	1332036	Zm00001d044744	Chr9	1005313	1009149	Zm00001eb371630	chr9	2740365	2744351									
pub83	0.14		GRMZM5G855994	Chr9	1077661	1078977	Zm00001d044734	Chr9	742710	744038	Zm00001eb371590	chr9	2477417	2481259									
Zm00001d044732	0.14		GRMZM2G063693	Chr9	999983	1003109	Zm00001d044732	Chr9	667766	670841	Zm00001eb371580	chr9	2402760	2405864									
IDP694	0.15		GRMZM2G027392	Chr9	1427243	1428578	Zm00001d044747	Chr9	1104146	1104848	Zm00001eb371660	chr9	2825481	2826580									
LOC100275233	0.15		GRMZM2G154664	Chr9	1338691	1347602	Zm00001d044745	Chr9	1015505	1024512	Zm00001eb371640	chr9	2750537	2759559									
AY112355	0.20		GRMZM2G027627	Chr9	1443355	1447997	Zm00001d044748	Chr9	1120172	1124593	Zm00001eb371680	chr9	2841667	2846043									
Zm00001d044752	0.21		GRMZM2G000587	Chr9	1587521	1589145	Zm00001d044752	Chr9	1245653	1246790	Zm00001eb371720	chr9	2946250	2947885									
umc1279	0.22		GRMZM2G000623	Chr9	1599022	1610027	Zm00001d044753	Chr9	1257308	1268407	Zm00001eb371730	chr9	2957762	2968195									
pfk16	0.23		GRMZM5G872800	Chr9	1634037	1680793	Zm00001d044754	Chr9	1340766	1353747	Zm00001eb371740	chr9	3041731	3054551									
IDP1637	0.25		GRMZM5G811223	Chr9	1743299	1749234	Zm00001d044757	Chr9	1442782	1460717	Zm00001eb371760	chr9	3143464	3161456									
Zm00001d044760	0.29		GRMZM2G377690	Chr9	1888855	1892999	Zm00001d044760	Chr9	1601296	1605346	Zm00001eb371780	chr9	3302003	3306218									
aomt1	0.60		GRMZM2G039993	Chr9	1995840	1997888	Zm00001d044762	Chr9	1714014	1716063	Zm00001eb371800	chr9	3414646	3416564									
aomt3	0.62		GRMZM2G063438	Chr9	2058851	2060648	Zm00001d044763	Chr9	1778805	1780825	Zm00001eb371810	chr9	3479534	3481552									
aomt2	0.64		GRMZM2G116966	Chr9	2118350	2121095	Zm00001d044765	Chr9	1839189	1841182	Zm00001eb371820	chr9	3539927	3541969									
si614013g11c	0.66		GRMZM2G408703	Chr9	2137899	2151306	Zm00001d044766	Chr9	1857759	1867122	Zm00001eb371830	chr9	3558730	3567948									
npf35	0.70		GRMZM2G057611	Chr9	2212075	2214901	Zm00001d044768	Chr9	1932258	1935084	Zm00001eb371840	chr9	3633046	3635886									
Zm00001d044771	0.78		GRMZM2G110220	Chr9	2258816	2260175	Zm00001d044771	Chr9	1977977	1979089	Zm00001eb371880	chr9	3678596	3679990									
pub74	0.80		GRMZM2G406758	Chr9	2275065	2276921	Zm00001d044773	Chr9	1994310	1995695	Zm00001eb371890	chr9	3694809	3696828									
xth12	0.82		GRMZM2G110299	Chr9	2339977	2341743	Zm00001d044775	Chr9	2067198	2068863	Zm00001eb371910	chr9	3768003	3769852									
xth11	0.83		GRMZM5G845080	Chr9	2456727	2457924	Zm00001d044776	Chr9	2120385	2121582	Zm00001eb371920	chr9	3821191	3822594									
LOC100383279	0.84		GRMZM5G833563	Chr9	2480762	2484723	Zm00001d044780	Chr9	2209294	2213288	Zm00001eb371940	chr9	3910100	3914121									
Zm00001eb371930	0.84		GRMZM5G812326	Chr9	2472184	2473105	Zm00001d044777	Chr9	2199682	2200449	Zm00001eb371930	chr9	3900305	3901589									
tbl52	0.88		GRMZM2G138771	Chr9	2619493	2620930	Zm00001d044784	Chr9	2338738	2340265	Zm00001eb371970	chr9	4039539	4041243									
glk1	0.90		GRMZM2G026833	Chr9	2711604	2714038	Zm00001d044785	Chr9	2407990	2410336	Zm00001eb371980	chr9	4107676	4111299									
rop5	1.00		GRMZM2G102946	Chr9	3063132	3080500	Zm00001d044802	Chr9	2773748	2789581	Zm00001eb372070	chr9	4473617	4490248									
GRMZM2G046092	1.23		GRMZM2G046092	Chr9	3287638	3289592	Zm00001d044805	Chr9	2918344	2919895	Zm00001eb372120	chr9	4619104	4620159									
umc109	1.25		GRMZM2G136831	Chr9	3310246	3313061	Zm00001d044806	Chr9	2940677	2943325	Zm00001eb372130	chr9	4641269	4644157									
pin1	1.26		GRMZM2G098643	Chr9	3650989	3654397	Zm00001d044812	Chr9	3291763	3295059	Zm00001eb372180	chr9	4992508	4995701									
gpm441	1.60		GRMZM2G072091	Chr9	3857018	3861177	Zm00001d044813	Chr9	3443965	3447970	Zm00001eb372200	chr9	5144510	5148773									
mkkk37	1.62		GRMZM2G048243	Chr9	3896830	3910777	Zm00001d044814	Chr9	3484823	3499021	Zm00001eb372210	chr9	5185493	5199584									
bob1	1.80		GRMZM2G110726	Chr9	3927533	3937364	Zm00001d044815	Chr9	3515909	3525496	Zm00001eb372220	chr9	5216400	5226248									
caspl42	2.00		GRMZM2G110832	Chr9	4009489	4011176	Zm00001d044816	Chr9	3595060	3596502	Zm00001eb372230	chr9	5298588	5299657									
iaa40	3.00		GRMZM2G435290	Chr9	4283462	4287324	Zm00001d044818	Chr9	3871449	3874530	Zm00001eb372270	chr9	5576428	5577837									
myo4	3.01		GRMZM2G435294	Chr9	4288790	4298831	Zm00001d044819	Chr9	3876132	3886863	Zm00001eb372280	chr9	5579327	5590045									
cl2811_2i	3.03										Zm00001eb372300	chr9	5596614	5597942									
dmp1	3.06		GRMZM2G465053	Chr9	4331295	4332355	Zm00001d044822	Chr9	3919235	3919852	Zm00001eb372320	chr9	5622174	5623178									
nlp14	4.30		GRMZM2G094586	Chr9	4400516	4402830	Zm00001d044825	Chr9	3987885	3992205	Zm00001eb372370	chr9	5692991	5695448									
nip2c	4.43		GRMZM2G081239	Chr9	4504176	4507865	Zm00001d044826	Chr9	4090119	4093538	Zm00001eb372380	chr9	5792948	5796840									
ppr458	5.00		GRMZM2G094586	Chr9	4400516	4402830					Zm00001eb372370	chr9	5692991	5695448									
