brpb-657600	NC_063435.1	90.650	246	21	2	1	244	12516624	12516379	6.85e-89	331	504	29581582
brpb-657600	NC_063439.1	95.946	148	6	0	357	504	10263700	10263847	1.97e-64	250	504	28937740
brpb-657600	NC_063451.1	95.918	147	6	0	357	503	32850320	32850174	7.10e-64	248	504	49204614
brpb-657600	NC_063450.1	92.135	89	5	1	378	464	44379908	44379996	3.47e-27	126	504	54958258
brpb-657614	NC_063439.1	97.984	248	4	1	1	247	2351661	2351908	6.52e-121	436	247	28937740
brpb-657632	NC_063449.1	93.803	355	22	0	1	355	4235942	4236296	9.29e-151	536	355	48209797
brpb-657632	NC_063439.1	97.115	208	6	0	3	210	2834751	2834544	3.61e-95	351	355	28937740
brpb-657632	NC_063439.1	93.939	99	6	0	257	355	2834545	2834447	3.93e-35	152	355	28937740
brpb-657641	NC_063447.1	95.066	304	15	0	73	376	32642107	32641804	1.69e-133	479	376	62924550
brpb-657648	NC_063434.1	98.328	299	4	1	1	299	2268673	2268970	6.02e-147	523	299	30963416
brpb-657648	NC_063444.1	95.918	147	6	0	151	297	2682920	2683066	2.44e-61	239	299	51431623
brpb-657679	NC_063436.1	97.720	307	4	1	1	307	2288668	2288365	1.72e-147	525	307	38724999
brpb-657679	NC_063452.1	96.032	126	5	0	79	204	59234119	59234244	2.55e-51	206	307	64956572
brpb-657692	NW_026016441.1	97.191	534	15	0	1	534	2989	2456	0.0	920	534	32034
brpb-657692	NW_026014990.1	97.191	534	15	0	1	534	27183	27716	0.0	920	534	36734
brpb-657692	NW_026014990.1	97.191	534	15	0	1	534	33237	33770	0.0	920	534	36734
brpb-657692	NC_063436.1	97.191	534	15	0	1	534	37537161	37537694	0.0	920	534	38724999
brpb-657692	NC_063436.1	97.191	534	15	0	1	534	37543211	37543744	0.0	920	534	38724999
brpb-657692	NC_063436.1	97.191	534	15	0	1	534	37570031	37570564	0.0	920	534	38724999
brpb-657692	NC_063436.1	96.636	535	17	1	1	534	37511506	37512040	0.0	904	534	38724999
brpb-657692	NC_063436.1	100.000	112	0	0	1	112	37563235	37563346	1.28e-51	207	534	38724999
brpb-657692	NW_026014300.1	97.004	534	15	1	1	534	7812	8344	0.0	913	534	30089
brpb-657692	NW_026014300.1	95.547	539	16	6	1	534	1711	2246	0.0	872	534	30089
brpb-657692	NC_063447.1	90.885	384	20	6	1	378	40301483	40301109	5.24e-140	501	534	62924550
brpb-657736	NC_063435.1	98.876	445	5	0	1	445	10236064	10236508	0.0	795	447	29581582
brpb-657736	NC_063437.1	98.652	445	6	0	1	445	1944295	1944739	0.0	789	447	22079791
brpb-657742	NC_063434.1	97.268	549	7	6	1	549	3554449	3554989	0.0	931	550	30963416
brpb-657750	NC_063436.1	97.985	397	6	2	1	395	14718253	14717857	0.0	689	415	38724999
brpb-657750	NC_063446.1	96.717	396	12	1	1	395	22668543	22668148	0.0	660	415	74222928
brpb-657774	NC_063442.1	100.000	434	0	0	1	434	6845107	6845540	0.0	802	434	45044935
brpb-657774	NC_063450.1	97.059	204	6	0	231	434	35789833	35790036	7.50e-93	344	434	54958258
brpb-657774	NC_063450.1	92.157	204	16	0	231	434	42248621	42248418	3.57e-76	289	434	54958258
brpb-657779	NC_063434.1	97.312	372	10	0	1	372	10981734	10982105	1.32e-179	632	404	30963416
brpb-657779	NC_063444.1	95.161	372	17	1	1	372	17745798	17746168	1.05e-165	586	404	51431623
brpb-657785	NW_026016306.1	100.000	417	0	0	1	417	63090	63506	0.0	771	417	345969
brpb-657785	NW_026016497.1	97.573	412	10	0	1	412	106513	106924	0.0	706	417	122973
brpb-657785	NC_063442.1	90.476	84	5	2	123	206	28401161	28401241	1.03e-21	108	417	45044935
